11032026




Time	Temp 	Temp SP	    	    	    	CE1	CE2	CE3	CE4	CE5	Spare	Spare	Probe 1	Probe 2	Probe 3	Probe 4	Dev Alarm	N/C	Chamber On	WOP Temp	WOP Hum	I/C	1st LP	1st HP	2nd LP	2nd HP	1st Comp A	2nd Comp A	Inlet Water	Outlet Water	Smoke Det	Fan Mot Temp	


3000	-54.1	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-41.5	14.1	16.2	Off	Off	On	-19.3	0.0	-41.5	0.9	8.7	2.0	9.1	14.1	16.2	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
3060	-54.1	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-41.7	14.0	16.2	Off	Off	On	-18.9	0.0	-41.7	0.9	8.7	2.0	9.0	14.0	16.2	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
3120	-54.1	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-41.8	14.0	16.3	Off	Off	On	-19.3	0.0	-41.8	0.9	8.7	2.0	9.0	14.0	16.3	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
3180	-54.0	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-41.9	14.0	16.3	Off	Off	On	-19.2	0.0	-41.9	0.8	8.6	2.0	8.9	14.0	16.3	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
3240	-54.0	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-41.8	14.2	16.4	Off	Off	On	-19.7	0.0	-41.8	0.9	8.6	2.0	9.1	14.2	16.4	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
3300	-54.0	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-41.8	14.0	16.3	Off	Off	On	-19.5	0.0	-41.8	0.8	8.5	2.0	8.9	14.0	16.3	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
3360	-54.0	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-41.6	14.0	16.3	Off	Off	On	-19.8	0.0	-41.6	0.8	8.6	2.0	9.1	14.0	16.3	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
3420	-54.0	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-41.9	14.2	16.4	Off	Off	On	-19.1	0.0	-41.9	0.9	8.6	2.0	9.0	14.2	16.4	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
3480	-54.1	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-42.2	14.2	16.5	Off	Off	On	-18.4	0.0	-42.2	0.8	8.6	2.0	8.9	14.2	16.4	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
3540	-54.1	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-42.5	14.1	16.3	Off	Off	On	-18.0	0.0	-42.5	0.8	8.6	2.0	9.0	14.1	16.4	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
3600	-54.1	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-42.5	14.1	16.4	Off	Off	On	-18.1	0.0	-42.5	0.8	8.5	2.0	9.0	14.1	16.4	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
3660	-54.0	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-42.6	14.2	16.5	Off	Off	On	-18.4	0.0	-42.6	0.8	8.5	2.0	9.1	14.2	16.5	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
3720	-54.0	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-41.8	14.2	16.5	Off	Off	On	-18.7	0.0	-41.8	0.8	8.4	2.0	9.1	14.2	16.5	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
3780	-54.0	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-42.2	14.2	16.4	Off	Off	On	-18.6	0.0	-42.2	0.8	8.5	2.0	9.1	14.2	16.4	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
3840	-54.0	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-42.2	14.2	16.3	Off	Off	On	-18.5	0.0	-42.2	0.8	8.5	2.0	9.1	14.2	16.4	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
3900	-54.0	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-42.5	14.2	16.3	Off	Off	On	-18.1	0.0	-42.5	0.8	8.5	2.0	9.0	14.2	16.4	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
3960	-54.1	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-42.8	14.2	16.4	Off	Off	On	-17.7	0.0	-42.8	0.8	8.5	2.0	9.0	14.2	16.4	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
4020	-54.1	-54.0	-	-	-	Off	Off	Off	Off	Off			0.3	-42.9	0.4	0.5	Off	Off	On	-17.8	0.0	-42.9	1.4	7.9	2.6	6.2	0.4	0.5	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
4080	-52.1	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-38.7	14.4	16.6	Off	Off	On	-29.8	0.0	-38.7	1.0	8.6	2.0	9.5	14.4	16.6	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
4140	-53.0	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-35.6	14.6	16.8	Off	Off	On	-35.8	0.0	-35.6	1.0	8.6	2.0	10.1	14.6	16.8	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
4200	-52.9	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-35.6	14.7	16.7	Off	Off	On	-35.9	0.0	-35.6	1.1	8.8	2.0	9.9	14.7	16.7	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
4260	-53.6	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-37.6	14.5	16.7	Off	Off	On	-34.1	0.0	-37.6	1.0	8.8	2.0	9.8	14.5	16.7	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
4320	-54.5	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-38.9	14.5	16.6	Off	Off	On	-27.1	0.0	-38.9	1.0	8.6	2.0	9.4	14.5	16.6	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
4380	-54.8	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-39.5	14.4	16.5	Off	Off	On	-24.1	0.0	-39.5	0.9	8.6	2.0	9.1	14.4	16.5	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
4440	-54.9	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-40.5	14.3	16.5	Off	Off	On	-20.6	0.0	-40.5	0.9	8.6	1.9	9.2	14.3	16.5	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
4500	-54.9	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-41.4	14.3	16.5	Off	Off	On	-18.3	0.0	-41.4	0.8	8.5	2.0	9.0	14.3	16.5	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
4560	-54.8	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-42.1	14.3	16.4	Off	Off	On	-16.6	0.0	-42.1	0.8	8.5	2.0	8.9	14.2	16.4	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
4620	-54.6	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-42.6	14.2	16.5	Off	Off	On	-16.1	0.0	-42.6	0.8	8.5	2.0	9.0	14.2	16.5	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
4680	-54.4	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-43.0	14.2	16.5	Off	Off	On	-16.0	0.0	-43.0	0.8	8.4	2.0	9.1	14.2	16.5	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
4740	-54.2	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-43.1	14.2	16.6	Off	Off	On	-16.6	0.0	-43.1	0.8	8.3	2.0	9.1	14.2	16.6	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
4800	-54.1	-54.0	-	-	-	Off	Off	Off	Off	Off			0.2	-43.0	14.2	16.5	Off	Off	On	-16.7	0.0	-43.0	0.8	8.4	2.0	9.0	14.2	16.5	-350.0	-350.0	-350.0	-350.0	-350.0	-350.0	
